2025-12-10 20:02:30,851:DEBUG:discord.client: on_ready has successfully been registered as an event
2025-12-10 20:02:30,851:DEBUG:discord.client: on_member_join has successfully been registered as an event
2025-12-10 20:02:30,851:DEBUG:discord.client: on_message has successfully been registered as an event
2025-12-10 20:02:30,851:DEBUG:discord.client: on_command_error has successfully been registered as an event
[2025-12-10 20:02:30] [DEBUG   ] asyncio: Using proactor: IocpProactor
[2025-12-10 20:02:30] [INFO    ] discord.client: logging in using static token
[2025-12-10 20:02:30] [INFO    ] discord.client: logging in using static token
[2025-12-10 20:02:31] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-12-10 20:02:31] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-12-10 20:02:31] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-12-10 20:02:31] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-12-10 20:02:31] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1442644079686193363', 'username': 'zeni_bot', 'avatar': None, 'discriminator': '8787', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-12-10 20:02:31] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1442644079686193363', 'username': 'zeni_bot', 'avatar': None, 'discriminator': '8787', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-12-10 20:02:31] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-12-10 20:02:31] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-12-10 20:02:31] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-12-10 20:02:31] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
